"filename", "language", "JSON", "JSON with Comments", "HTML", "TypeScript", "TypeScript JSX", "JavaScript", "Markdown", "XML", "CSS", "comment", "blank", "total"
"/home/andrew/projects/ck-client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 14, 77
"/home/andrew/projects/ck-client/babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/home/andrew/projects/ck-client/index.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 10, 1, 29
"/home/andrew/projects/ck-client/jest.config.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/home/andrew/projects/ck-client/package-lock.json", "JSON", 8586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8587
"/home/andrew/projects/ck-client/package.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"/home/andrew/projects/ck-client/public/manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/andrew/projects/ck-client/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 239, 0, 0, 0, 0, 7, 15, 261
"/home/andrew/projects/ck-client/src/assets/arrow-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/calendar-edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/chevron-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/chevron-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/magnify.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/menu-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/assets/plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/projects/ck-client/src/components/Account/Account.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/andrew/projects/ck-client/src/components/AnnouncementBar/AnnouncementBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"/home/andrew/projects/ck-client/src/components/Calendar/AddUserToCalendarList.tsx", "TypeScript JSX", 0, 0, 0, 0, 179, 0, 0, 0, 0, 1, 11, 191
"/home/andrew/projects/ck-client/src/components/Calendar/Calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 25, 271
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/AddCalendarForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 302, 0, 0, 0, 0, 3, 21, 326
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/AddEventForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 173, 0, 0, 0, 0, 26, 12, 211
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/AddNoteForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 515, 0, 0, 0, 0, 4, 58, 577
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/CalendarFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 9, 64
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/CalendarFormSwitch.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 7, 79
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/DropDownCalendarItems.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/NavLeftContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 7, 130
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/NavRightContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 12, 160
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/SelectedCalendarModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 2, 18, 153
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/ViewModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 10, 82
"/home/andrew/projects/ck-client/src/components/Calendar/CalendarNavItems/YearModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 8, 94
"/home/andrew/projects/ck-client/src/components/Calendar/DayView.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 15, 127
"/home/andrew/projects/ck-client/src/components/Calendar/EditCalendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 9, 195
"/home/andrew/projects/ck-client/src/components/Calendar/MonthView.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 0, 11, 20, 126
"/home/andrew/projects/ck-client/src/components/Calendar/NotesForCalendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 6, 18
"/home/andrew/projects/ck-client/src/components/Calendar/UserList.tsx", "TypeScript JSX", 0, 0, 0, 0, 222, 0, 0, 0, 0, 2, 16, 240
"/home/andrew/projects/ck-client/src/components/Calendar/WeekView.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 2, 16, 99
"/home/andrew/projects/ck-client/src/components/Calendar/YearView.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 0, 4, 19, 161
"/home/andrew/projects/ck-client/src/components/Classes/Classes.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/andrew/projects/ck-client/src/components/Dashboard/Calendars.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Dashboard/ClassOverviews.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Dashboard/Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"/home/andrew/projects/ck-client/src/components/Dashboard/Lessons.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Dashboard/ProjectsAndTasks.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Dashboard/TeamLastActive.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Dashboard/Teams.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Dashboard/UpcomingEvents.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Dashboard/UserStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/projects/ck-client/src/components/Footer/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 4, 17
"/home/andrew/projects/ck-client/src/components/Header/AppNavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 6, 93
"/home/andrew/projects/ck-client/src/components/Header/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/home/andrew/projects/ck-client/src/components/Header/NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 5, 24
"/home/andrew/projects/ck-client/src/components/Header/WelcomeNavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 4, 30
"/home/andrew/projects/ck-client/src/components/JenkinsAI/JenkinsAI.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/components/Lessons/Lessons.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/andrew/projects/ck-client/src/components/Messaging/Messaging.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/components/Notes/Notes.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/andrew/projects/ck-client/src/components/ProjectsAndTasks/Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"/home/andrew/projects/ck-client/src/components/ProjectsAndTasks/Projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/components/ProjectsAndTasks/Tasks.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/components/ScrollToTopButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 4, 20
"/home/andrew/projects/ck-client/src/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 3, 20
"/home/andrew/projects/ck-client/src/pages/About.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/pages/Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/pages/Feedback.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/pages/LoadingBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/andrew/projects/ck-client/src/pages/Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 0, 0, 0, 0, 3, 25, 242
"/home/andrew/projects/ck-client/src/pages/Pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/andrew/projects/ck-client/src/pages/SignUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 401, 0, 0, 0, 0, 4, 35, 440
"/home/andrew/projects/ck-client/src/pages/Welcome.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 5, 17
"/home/andrew/projects/ck-client/src/reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/andrew/projects/ck-client/src/setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 5
"/home/andrew/projects/ck-client/src/styles/components/AnnouncementBar/announcements.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 3, 28
"/home/andrew/projects/ck-client/src/styles/components/Calendar/calendar.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1130, 15, 196, 1341
"/home/andrew/projects/ck-client/src/styles/components/Dashboard/dashboard.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 13, 73
"/home/andrew/projects/ck-client/src/styles/components/Footer/footer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"/home/andrew/projects/ck-client/src/styles/components/Header/header.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 146, 1, 27, 174
"/home/andrew/projects/ck-client/src/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 58, 2, 15, 75
"/home/andrew/projects/ck-client/src/styles/pages/loadingBar.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 3, 47
"/home/andrew/projects/ck-client/src/styles/pages/signup.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 7, 60
"/home/andrew/projects/ck-client/src/tests/components/AnnouncementBar/AnnouncementBar.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"/home/andrew/projects/ck-client/src/tests/components/Calendar/EditCalendar.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 21, 145
"/home/andrew/projects/ck-client/src/tests/components/Header/AppNavBar.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 13, 47
"/home/andrew/projects/ck-client/src/tests/components/Header/Header.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 6, 31
"/home/andrew/projects/ck-client/src/tests/components/Header/NavBar.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 10, 46
"/home/andrew/projects/ck-client/src/tests/components/Header/WelcomeNavBar.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 8, 33
"/home/andrew/projects/ck-client/src/tests/pages/SignUp.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 12, 49
"/home/andrew/projects/ck-client/src/types/interfaces.ts", "TypeScript", 0, 0, 0, 455, 0, 0, 0, 0, 0, 0, 67, 522
"/home/andrew/projects/ck-client/src/types/uniqid.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/home/andrew/projects/ck-client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/andrew/projects/ck-client/tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/andrew/projects/ck-client/tsconfig.node.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/home/andrew/projects/ck-client/vite.config.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"Total", "-", 8683, 34, 18, 496, 4736, 8, 63, 10, 1525, 123, 912, 16608